,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
63,873429.5057870345,64,0.5488147512281284,50,120000,101200,223200
64,874736.7614668815,65,0.5498693398522775,50,120000,102000,224000
65,875996.037553703,66,0.550899916804051,50,120000,102800,224800
66,877209.1046225491,67,0.5519073681782519,50,120000,103600,225600
67,878377.6437624858,68,0.5528925352858903,50,120000,104400,226400
68,879503.2522806693,69,0.5538562175088223,50,120000,105200,227200
69,880587.4489698145,70,0.554799174935885,50,120000,106000,228000
70,881631.6789778937,71,0.555722130799967,50,120000,106800,228800
71,882637.3183149886,72,0.5566257737334884,50,120000,107600,229600
72,883605.6780287351,73,0.5575107598580274,50,120000,108400,230400
73,884538.0080767001,74,0.5583777147222745,50,120000,109200,231200
74,885435.5009212843,75,0.5592272351011224,50,120000,110000,232000
75,886299.294870279,76,0.560059890667468,50,120000,110800,232800
76,887130.4771840225,77,0.560876225547207,50,120000,111600,233600
77,887930.0869681337,78,0.5616767597669196,50,120000,112400,234400
78,888699.1178690481,79,0.5624619906028677,50,120000,113200,235200
79,889438.5205880101,80,0.5632323938391374,50,120000,114000,236000
80,890149.2052277613,81,0.5639884249420523,50,120000,114800,236800
81,890832.0434848825,82,0.564730520157345,50,120000,115600,237600
82,891487.870699631,83,0.5654590975360104,50,120000,116400,238400
83,892117.4877740503,84,0.566174557894234,50,120000,117200,239200
84,892721.6629682262,85,0.56687728571234,50,120000,118000,240000
85,893301.1335837021,86,0.567567649977266,50,120000,118800,240800
86,893856.6075423234,87,0.5682460049727055,50,120000,119600,241600
87,894388.764868082,88,0.5689126910207051,50,120000,120400,242400
88,894898.2590789038,89,0.5695680351781934,50,120000,121200,243200
89,895385.7184947669,90,0.5702123518916363,50,120000,122000,244000
90,895851.7474680122,91,0.5708459436127532,50,120000,122800,244800
91,896296.9275412515,92,0.5714691013779992,50,120000,123600,245600
92,896721.8185378301,93,0.5720821053542934,50,120000,124400,246400
93,897126.9595894455,94,0.5726852253532965,50,120000,125200,247200
94,897512.8701051269,95,0.5732787213163432,50,120000,126000,248000
95,897880.0506855014,96,0.5738628437719914,50,120000,126800,248800
96,898228.9839859363,97,0.5744378342679869,50,120000,127600,249600
97,898560.1355319005,98,0.5750039257793166,50,120000,128400,250400
98,898873.9544896351,99,0.5755613430938941,50,120000,129200,251200
99,899170.8743949893,100,0.5761103031773108,50,120000,130000,252000
100,899451.3138430724,101,0.5766510155179762,50,120000,130800,252800
101,899715.6771411854,102,0.5771836824538809,50,120000,131600,253600
102,899964.3549273128,103,0.577708499482125,50,120000,132400,254400
103,900197.7247562981,104,0.578225655552273,50,120000,133200,255200
104,900416.1516556721,105,0.5787353333445214,50,120000,134000,256000
105,900619.9886529746,106,0.5792377095335998,50,120000,134800,256800
106,900809.5772762734,107,0.5797329550392586,50,120000,135600,257600
107,900985.2480294728,108,0.5802212352641404,50,120000,136400,258400
108,901147.3208438964,109,0.5807027103197767,50,120000,137200,259200
109,901296.1055075303,110,0.5811775352414056,50,120000,138000,260000
110,901431.9020732129,111,0.5816458601922528,50,120000,138800,260800
111,901555.0012469843,112,0.582107830657883,50,120000,139600,261600
112,901665.6847577149,113,0.5825635876311831,50,120000,140400,262400
113,901764.22570908,114,0.5830132677885101,50,120000,141200,263200
114,901850.8889148561,115,0.5834570036574916,50,120000,142000,264000
115,901925.9312184611,116,0.5838949237769421,50,120000,142800,264800
116,901989.6017976184,117,0.5843271528493333,50,120000,143600,265600
117,902042.1424549371,118,0.5847538118862178,50,120000,144400,266400
118,902083.7878951849,119,0.5851750183469909,50,120000,145200,267200
119,902114.7659899546,120,0.5855908862713449,50,120000,146000,268000
120,902135.2980304032,121,0.5860015264057542,50,120000,146800,268800
121,902145.5989686865,122,0.586407046324302,50,120000,147600,269600
122,902145.8776486861,123,0.5868075505441496,50,120000,148400,270400
123,902136.3370265772,124,0.5872031406359207,50,120000,149200,271200
124,902117.1743817695,125,0.5875939153292681,50,120000,150000,272000
125,902088.5815187057,126,0.5879799706138643,50,120000,150800,272800
126,902050.7449599849,127,0.5883613998360523,50,120000,151600,273600
127,902003.8461312426,128,0.5887382937913693,50,120000,152400,274400
128,901948.0615382097,129,0.589110740813157,50,120000,153200,275200
129,901883.5629363239,130,0.5894788268574443,50,120000,154000,276000
130,901810.5174932724,131,0.5898426355842937,50,120000,154800,276800
131,901729.0879448017,132,0.5902022484357762,50,120000,155600,277600
132,901639.4327441251,133,0.5905577447107438,50,120000,156400,278400
133,901541.70620524,134,0.5909092016365532,50,120000,157200,279200
134,901436.0586404335,135,0.5912566944378818,50,120000,158000,280000
135,901322.6364922682,136,0.5916002964027797,50,120000,158800,280800
136,901201.5824602921,137,0.5919400789460835,50,120000,159600,281600
137,901073.035622733,138,0.5922761116703187,50,120000,160400,282400
138,900937.1315533973,139,0.5926084624242022,50,120000,161200,283200
139,900794.0024340092,140,0.592937197358863,50,120000,162000,284000
140,900643.7771621814,141,0.5932623809818772,50,120000,162800,284800
141,900486.5814552319,142,0.5935840762092236,50,120000,163600,285600
142,900322.5379500252,143,0.5939023444152495,50,120000,164400,286400
143,900151.7662990161,144,0.5942172454807367,50,120000,165200,287200
144,899974.3832626739,145,0.5945288378391559,50,120000,166000,288000
145,899790.5027984313,146,0.5948371785211813,50,120000,166800,288800
146,899600.2361463329,147,0.595142323197554,50,120000,167600,289600
147,899403.6919114992,148,0.5954443262203518,50,120000,168400,290400
148,899200.9761435739,149,0.5957432406627489,50,120000,169200,291200
149,898992.1924132609,150,0.5960391183573194,50,120000,170000,292000
150,898777.4418860883,151,0.5963320099329529,50,120000,170800,292800
151,898556.8233935128,152,0.5966219648504391,50,120000,171600,293600
152,898330.4335014794,153,0.5969090314367788,50,120000,172400,294400
153,898098.3665765389,154,0.5971932569182729,50,120000,173200,295200
154,897860.7148496287,155,0.597474687452442,50,120000,174000,296000
155,897617.5684776139,156,0.5977533681588251,50,120000,174800,296800
156,897369.0156026797,157,0.5980293431487022,50,120000,175600,297600
157,897115.1424096611,158,0.5983026555537859,50,120000,176400,298400
158,896856.0331813977,159,0.5985733475539242,50,120000,177200,299200
159,896591.7703521906,160,0.5988414604038529,50,120000,178000,300000
160,896322.43455944,161,0.5991070344590378,50,120000,178800,300800
161,896048.1046935334,162,0.5993701092006419,50,120000,179600,301600
162,895768.8579460548,163,0.5996307232596524,50,120000,180400,302400
163,895484.7698563833,164,0.5998889144402001,50,120000,181200,303200
164,895195.9143567409,165,0.6001447197421047,50,120000,182000,304000
165,894902.3638157533,166,0.6003981753826749,50,120000,182800,304800
166,894604.1890805769,167,0.6006493168177912,50,120000,183600,305600
167,894301.4595176533,168,0.6008981787623012,50,120000,184400,306400
