,Sample size,Power
215,216,0.9042275195785461
216,217,0.9055051585160023
217,218,0.9067672897801768
218,219,0.9080140724534803
219,220,0.909245664564778
220,221,0.9104622230834376
221,222,0.9116639039137795
222,223,0.9128508618899143
223,224,0.9140232507709616
224,225,0.9151812232366406
225,226,0.9163249308832224
226,227,0.9174545242198351
227,228,0.9185701526651153
228,229,0.9196719645441936
229,230,0.9207601070860112
230,231,0.9218347264209525
231,232,0.9228959675787919
232,233,0.9239439744869431
233,234,0.9249788899690047
234,235,0.9260008557435934
235,236,0.9270100124234579
236,237,0.928006499514867
237,238,0.9289904554172619
238,239,0.9299620174231684
239,240,0.9309213217183616
240,241,0.9318685033822733
241,242,0.9328036963886401
242,243,0.9337270336063809
243,244,0.9346386468007007
244,245,0.9355386666344134
245,246,0.9364272226694751
